MGP;Cyl;Disp;HP;Wgt;Acc;Year
18.0;8;307.0;130.0;3504.0;12.0;70
15.0;8;350.0;165.0;3693.0;11.5;70
18.0;8;318.0;150.0;3436.0;11.0;70
16.0;8;304.0;150.0;3433.0;12.0;70
17.0;8;302.0;140.0;3449.0;10.5;70
15.0;8;429.0;198.0;4341.0;10.0;70
14.0;8;454.0;220.0;4354.0;9.0;70
14.0;8;440.0;215.0;4312.0;8.5;70
14.0;8;455.0;225.0;4425.0;10.0;70
15.0;8;390.0;190.0;3850.0;8.5;70
15.0;8;383.0;170.0;3563.0;10.0;70
14.0;8;340.0;160.0;3609.0;8.0;70
15.0;8;400.0;150.0;3761.0;9.5;70
14.0;8;455.0;225.0;3086.0;10.0;70
24.0;4;113.0;95.00;2372.0;15.0;70
22.0;6;198.0;95.00;2833.0;15.5;70
18.0;6;199.0;97.00;2774.0;15.5;70
21.0;6;200.0;85.00;2587.0;16.0;70
27.0;4;97.00;88.00;2130.0;14.5;70
26.0;4;97.00;46.00;1835.0;20.5;70
25.0;4;110.0;87.00;2672.0;17.5;70
24.0;4;107.0;90.00;2430.0;14.5;70
25.0;4;104.0;95.00;2375.0;17.5;70
26.0;4;121.0;113.0;2234.0;12.5;70
21.0;6;199.0;90.00;2648.0;15.0;70
10.0;8;360.0;215.0;4615.0;14.0;70
10.0;8;307.0;200.0;4376.0;15.0;70
11.0;8;318.0;210.0;4382.0;13.5;70
9.0;8;304.0;193.0;4732.0;18.5;70
27.0;4;97.00;88.00;2130.0;14.5;71
28.0;4;140.0;90.00;2264.0;15.5;71
25.0;4;113.0;95.00;2228.0;14.0;71
25.0;4;98.00;?;2046.0;19.0;71
19.0;6;232.0;100.0;2634.0;13.0;71
16.0;6;225.0;105.0;3439.0;15.5;71
17.0;6;250.0;100.0;3329.0;15.5;71
19.0;6;250.0;88.00;3302.0;15.5;71
18.0;6;232.0;100.0;3288.0;15.5;71
14.0;8;350.0;165.0;4209.0;12.0;71
14.0;8;400.0;175.0;4464.0;11.5;71
14.0;8;351.0;153.0;4154.0;13.5;71
14.0;8;318.0;150.0;4096.0;13.0;71
12.0;8;383.0;180.0;4955.0;11.5;71
13.0;8;400.0;170.0;4746.0;12.0;71
13.0;8;400.0;175.0;5140.0;12.0;71
18.0;6;258.0;110.0;2962.0;13.5;71
22.0;4;140.0;72.00;2408.0;19.0;71
19.0;6;250.0;100.0;3282.0;15.0;71
18.0;6;250.0;88.00;3139.0;14.5;71
23.0;4;122.0;86.00;2220.0;14.0;71
28.0;4;116.0;90.00;2123.0;14.0;71
30.0;4;79.00;70.00;2074.0;19.5;71
30.0;4;88.00;76.00;2065.0;14.5;71
31.0;4;71.00;65.00;1773.0;19.0;71
35.0;4;72.00;69.00;1613.0;18.0;71
27.0;4;97.00;60.00;1834.0;19.0;71
26.0;4;91.00;70.00;1955.0;20.5;71
24.0;4;113.0;95.00;2278.0;15.5;72
25.0;4;97.50;80.00;2126.0;17.0;72
23.0;4;97.00;54.00;2254.0;23.5;72
20.0;4;140.0;90.00;2408.0;19.5;72
21.0;4;122.0;86.00;2226.0;16.5;72
13.0;8;350.0;165.0;4274.0;12.0;72
14.0;8;400.0;175.0;4385.0;12.0;72
15.0;8;318.0;150.0;4135.0;13.5;72
14.0;8;351.0;153.0;4129.0;13.0;72
17.0;8;304.0;150.0;3672.0;11.5;72
11.0;8;429.0;208.0;4633.0;11.0;72
13.0;8;350.0;155.0;4502.0;13.5;72
12.0;8;350.0;160.0;4456.0;13.5;72
13.0;8;400.0;190.0;4422.0;12.5;72
19.0;3;70.00;97.00;2330.0;13.5;72
15.0;8;304.0;150.0;3892.0;12.5;72
13.0;8;307.0;130.0;4098.0;14.0;72
13.0;8;302.0;140.0;4294.0;16.0;72
14.0;8;318.0;150.0;4077.0;14.0;72
18.0;4;121.0;112.0;2933.0;14.5;72
22.0;4;121.0;76.00;2511.0;18.0;72
21.0;4;120.0;87.00;2979.0;19.5;72
26.0;4;96.00;69.00;2189.0;18.0;72
22.0;4;122.0;86.00;2395.0;16.0;72
28.0;4;97.00;92.00;2288.0;17.0;72
23.0;4;120.0;97.00;2506.0;14.5;72
28.0;4;98.00;80.00;2164.0;15.0;72
27.0;4;97.00;88.00;2100.0;16.5;72
13.0;8;350.0;175.0;4100.0;13.0;73
14.0;8;304.0;150.0;3672.0;11.5;73
13.0;8;350.0;145.0;3988.0;13.0;73
14.0;8;302.0;137.0;4042.0;14.5;73
15.0;8;318.0;150.0;3777.0;12.5;73
12.0;8;429.0;198.0;4952.0;11.5;73
13.0;8;400.0;150.0;4464.0;12.0;73
13.0;8;351.0;158.0;4363.0;13.0;73
14.0;8;318.0;150.0;4237.0;14.5;73
13.0;8;440.0;215.0;4735.0;11.0;73
12.0;8;455.0;225.0;4951.0;11.0;73
13.0;8;360.0;175.0;3821.0;11.0;73
18.0;6;225.0;105.0;3121.0;16.5;73
16.0;6;250.0;100.0;3278.0;18.0;73
18.0;6;232.0;100.0;2945.0;16.0;73
18.0;6;250.0;88.00;3021.0;16.5;73
23.0;6;198.0;95.00;2904.0;16.0;73
26.0;4;97.00;46.00;1950.0;21.0;73
11.0;8;400.0;150.0;4997.0;14.0;73
12.0;8;400.0;167.0;4906.0;12.5;73
13.0;8;360.0;170.0;4654.0;13.0;73
12.0;8;350.0;180.0;4499.0;12.5;73
18.0;6;232.0;100.0;2789.0;15.0;73
20.0;4;97.00;88.00;2279.0;19.0;73
21.0;4;140.0;72.00;2401.0;19.5;73
22.0;4;108.0;94.00;2379.0;16.5;73
18.0;3;70.00;90.00;2124.0;13.5;73
19.0;4;122.0;85.00;2310.0;18.5;73
21.0;6;155.0;107.0;2472.0;14.0;73
26.0;4;98.00;90.00;2265.0;15.5;73
